N_train,noise_ratio,resample,repeat,relative_L2_error
75,0.0,1,0,7.85142771384701
75,0.01020408163265306,1,0,7.866889596699838
75,0.02040816326530612,1,0,7.916952415324056
75,0.030612244897959183,1,0,8.106990018734885
75,0.04081632653061224,1,0,7.967301347648087
75,0.0510204081632653,1,0,8.536840231707043
75,0.061224489795918366,1,0,8.415445173251609
75,0.07142857142857142,1,0,8.540223161958371
75,0.08163265306122448,1,0,8.380106304507075
75,0.09183673469387754,1,0,8.445094098174113
75,0.1020408163265306,1,0,9.251092735520155
75,0.11224489795918366,1,0,8.850488435464468
75,0.12244897959183673,1,0,9.22693117924798
75,0.13265306122448978,1,0,10.187003435621056
75,0.14285714285714285,1,0,8.845362883774275
75,0.1530612244897959,1,0,9.139958121410702
75,0.16326530612244897,1,0,9.238791722205812
75,0.17346938775510204,1,0,9.366289435163786
75,0.18367346938775508,1,0,9.83365136796512
75,0.19387755102040816,1,0,44.051943796993434
75,0.2040816326530612,1,0,53.737796082594734
75,0.21428571428571427,1,0,9.736037120619075
75,0.22448979591836732,1,0,59.34227264708441
75,0.2346938775510204,1,0,10.590209425879415
75,0.24489795918367346,1,0,13.583812304490204
75,0.25510204081632654,1,0,10.73054177607921
75,0.26530612244897955,1,0,13.710204658029282
75,0.2755102040816326,1,0,59.164739844000216
75,0.2857142857142857,1,0,77.63780126815179
75,0.29591836734693877,1,0,73.64693213536268
75,0.3061224489795918,1,0,64.67278068816829
75,0.31632653061224486,1,0,97.62725638262613
75,0.32653061224489793,1,0,69.41161437064761
75,0.336734693877551,1,0,47.174181450530426
75,0.3469387755102041,1,0,90.10090376117047
75,0.3571428571428571,1,0,92.18745395614606
75,0.36734693877551017,1,0,121.3655725176166
75,0.37755102040816324,1,0,118.68805263549864
75,0.3877551020408163,1,0,143.0104886514097
75,0.39795918367346933,1,0,96.77419614559541
75,0.4081632653061224,1,0,104.55382393914088
75,0.4183673469387755,1,0,76.11154106035956
75,0.42857142857142855,1,0,126.03912785116145
75,0.4387755102040816,1,0,187.98739040862617
75,0.44897959183673464,1,0,129.89914246839
75,0.4591836734693877,1,0,71.04510498774953
75,0.4693877551020408,1,0,117.2419705160831
75,0.47959183673469385,1,0,100.30777836819524
75,0.4897959183673469,1,0,14.922340193801665
75,0.5,1,0,126.47275847023207
75,0.0,1,1,7.848368831091689
75,0.01020408163265306,1,1,7.88817191320829
75,0.02040816326530612,1,1,8.0341908852913
75,0.030612244897959183,1,1,97.45629716466809
75,0.04081632653061224,1,1,7.939600447895165
75,0.0510204081632653,1,1,8.11004524802044
75,0.061224489795918366,1,1,8.225817089528489
75,0.07142857142857142,1,1,8.506252741257256
75,0.08163265306122448,1,1,8.043574084959584
75,0.09183673469387754,1,1,8.755976054318085
75,0.1020408163265306,1,1,8.751710901760616
75,0.11224489795918366,1,1,9.271277634701839
75,0.12244897959183673,1,1,8.732411568279957
75,0.13265306122448978,1,1,9.244693191142115
75,0.14285714285714285,1,1,10.404275429531875
75,0.1530612244897959,1,1,9.153989924898012
75,0.16326530612244897,1,1,9.58231264650853
75,0.17346938775510204,1,1,9.829665272548967
75,0.18367346938775508,1,1,9.821846461946274
75,0.19387755102040816,1,1,10.115411875298655
75,0.2040816326530612,1,1,9.165920831148876
75,0.21428571428571427,1,1,9.473791123114642
75,0.22448979591836732,1,1,57.41947547513351
75,0.2346938775510204,1,1,49.91065553212287
75,0.24489795918367346,1,1,73.06851571827981
75,0.25510204081632654,1,1,52.51710733065481
75,0.26530612244897955,1,1,75.02436128558706
75,0.2755102040816326,1,1,14.336299931427959
75,0.2857142857142857,1,1,104.32135540954299
75,0.29591836734693877,1,1,12.595769523409556
75,0.3061224489795918,1,1,86.94594109118206
75,0.31632653061224486,1,1,66.66039780188416
75,0.32653061224489793,1,1,11.518282326422332
75,0.336734693877551,1,1,89.68694413601064
75,0.3469387755102041,1,1,110.08122253076277
75,0.3571428571428571,1,1,79.51852826522293
75,0.36734693877551017,1,1,99.65028057686722
75,0.37755102040816324,1,1,146.67371409275503
75,0.3877551020408163,1,1,103.43703599190042
75,0.39795918367346933,1,1,81.4635338313446
75,0.4081632653061224,1,1,99.75232582943437
75,0.4183673469387755,1,1,128.0910958352455
75,0.42857142857142855,1,1,110.47025065526282
75,0.4387755102040816,1,1,71.5423029744696
75,0.44897959183673464,1,1,116.65968573001186
75,0.4591836734693877,1,1,98.2651599551898
75,0.4693877551020408,1,1,156.04433973313454
75,0.47959183673469385,1,1,116.94116554021608
75,0.4897959183673469,1,1,201.14262714877506
75,0.5,1,1,186.0425694742494
75,0.0,1,2,7.894334183933424
75,0.01020408163265306,1,2,7.848128495104698
75,0.02040816326530612,1,2,7.9013692479665245
75,0.030612244897959183,1,2,8.138723507248145
75,0.04081632653061224,1,2,8.229301846930666
75,0.0510204081632653,1,2,8.23349868349759
75,0.061224489795918366,1,2,8.113134709821216
75,0.07142857142857142,1,2,8.015052628625337
75,0.08163265306122448,1,2,8.35192151070012
75,0.09183673469387754,1,2,24.450759513663765
75,0.1020408163265306,1,2,8.83150896100284
75,0.11224489795918366,1,2,8.865376986535697
75,0.12244897959183673,1,2,10.064337568383715
75,0.13265306122448978,1,2,8.696662842695543
75,0.14285714285714285,1,2,9.431866012881448
75,0.1530612244897959,1,2,46.044104563880445
75,0.16326530612244897,1,2,50.0450471379815
75,0.17346938775510204,1,2,9.642681936138755
75,0.18367346938775508,1,2,29.84899651310684
75,0.19387755102040816,1,2,10.17380634901291
75,0.2040816326530612,1,2,11.371559291169978
75,0.21428571428571427,1,2,12.860332046640943
75,0.22448979591836732,1,2,8.946288719057707
75,0.2346938775510204,1,2,10.616007946059444
75,0.24489795918367346,1,2,119.56783468009662
75,0.25510204081632654,1,2,11.224526454272473
75,0.26530612244897955,1,2,54.91045732487569
75,0.2755102040816326,1,2,71.60205999600218
75,0.2857142857142857,1,2,52.50048186621027
75,0.29591836734693877,1,2,61.55743598852054
75,0.3061224489795918,1,2,56.508679922559665
75,0.31632653061224486,1,2,49.89298698070552
75,0.32653061224489793,1,2,71.48109364995467
75,0.336734693877551,1,2,88.23532393578841
75,0.3469387755102041,1,2,13.150019346369419
75,0.3571428571428571,1,2,57.48786599946586
75,0.36734693877551017,1,2,72.81542436130908
75,0.37755102040816324,1,2,64.67858242751132
75,0.3877551020408163,1,2,83.26710179868621
75,0.39795918367346933,1,2,115.96802821517858
75,0.4081632653061224,1,2,135.40596821704446
75,0.4183673469387755,1,2,123.92441184478325
75,0.42857142857142855,1,2,109.05078528710426
75,0.4387755102040816,1,2,151.9643965443494
75,0.44897959183673464,1,2,162.99341257137775
75,0.4591836734693877,1,2,150.68913732364163
75,0.4693877551020408,1,2,241.45615665255838
75,0.47959183673469385,1,2,169.087553801688
75,0.4897959183673469,1,2,61.33327394216356
75,0.5,1,2,180.94846409490935
75,0.0,1,3,7.841784530690561
75,0.01020408163265306,1,3,7.925795010583052
75,0.02040816326530612,1,3,7.840916106162296
75,0.030612244897959183,1,3,7.948093039915313
75,0.04081632653061224,1,3,8.156410898738523
75,0.0510204081632653,1,3,8.000485408095996
75,0.061224489795918366,1,3,8.407387749683243
75,0.07142857142857142,1,3,8.49125109629038
75,0.08163265306122448,1,3,8.402619811292114
75,0.09183673469387754,1,3,8.161573289328167
75,0.1020408163265306,1,3,8.416270640912336
75,0.11224489795918366,1,3,9.087534365497895
75,0.12244897959183673,1,3,9.10791727479482
75,0.13265306122448978,1,3,8.356027440252
75,0.14285714285714285,1,3,33.76497200328424
75,0.1530612244897959,1,3,8.475386694198892
75,0.16326530612244897,1,3,12.085254598416121
75,0.17346938775510204,1,3,51.13941494193329
75,0.18367346938775508,1,3,9.858262863640947
75,0.19387755102040816,1,3,10.473153671394456
75,0.2040816326530612,1,3,9.376112866659255
75,0.21428571428571427,1,3,10.08463892241622
75,0.22448979591836732,1,3,10.350864551908256
75,0.2346938775510204,1,3,52.91501536375068
75,0.24489795918367346,1,3,61.79089793112955
75,0.25510204081632654,1,3,36.95007024455331
75,0.26530612244897955,1,3,56.817012014621604
75,0.2755102040816326,1,3,58.4745987290479
75,0.2857142857142857,1,3,103.35694453288744
75,0.29591836734693877,1,3,90.42541419169098
75,0.3061224489795918,1,3,76.66003167836915
75,0.31632653061224486,1,3,14.31824767865284
75,0.32653061224489793,1,3,57.66466860191115
75,0.336734693877551,1,3,57.95243575236029
75,0.3469387755102041,1,3,74.1233216415383
75,0.3571428571428571,1,3,73.89796712630495
75,0.36734693877551017,1,3,95.27398376026358
75,0.37755102040816324,1,3,14.932141288395067
75,0.3877551020408163,1,3,121.31617169352175
75,0.39795918367346933,1,3,64.70094270642106
