N_train,noise_ratio,resample,repeat,train_wall_time
20,0.0,1,0,1133.707520723343
18,0.0,1,2,391.45026540756226
8,0.0,1,2,412.36866188049316
65,0.0,1,1,540.0353817939758
9,0.0,1,2,426.8425724506378
50,0.0,1,0,1241.1179316043854
13,0.0,1,3,291.65977907180786
7,0.0,1,4,378.8724298477173
15,0.0,1,2,611.5126385688782
6,0.0,1,4,319.7316143512726
60,0.0,1,1,786.6709425449371
10,0.0,1,2,507.3334209918976
11,0.0,1,2,635.2090382575989
75,0.0,1,2,672.9937951564789
17,0.0,1,3,499.5168011188507
14,0.0,1,3,462.3040363788605
70,0.0,1,2,596.0290324687958
16,0.0,1,3,470.9406373500824
12,0.0,1,2,544.0607707500458
8,0.0,1,3,401.80087971687317
40,0.0,1,1,801.8311505317688
55,0.0,1,2,744.1248416900635
13,0.0,1,4,457.26745891571045
18,0.0,1,3,574.9944176673889
9,0.0,1,3,503.934773683548
30,0.0,1,1,940.8602013587952
10,0.0,1,3,425.3742563724518
11,0.0,1,3,434.29350304603577
15,0.0,1,3,561.4588813781738
65,0.0,1,2,660.5518100261688
17,0.0,1,4,486.53664326667786
8,0.0,1,4,337.01840567588806
35,0.0,1,1,906.5318200588226
16,0.0,1,4,445.6419749259949
19,0.0,1,1,994.0914595127106
12,0.0,1,3,466.591504573822
75,0.0,1,3,639.4490804672241
60,0.0,1,2,735.5596420764923
9,0.0,1,4,353.8055839538574
18,0.0,1,4,380.86510014533997
25,0.0,1,1,1009.1076908111572
45,0.0,1,1,1213.1112048625946
14,0.0,1,4,615.1140186786652
50,0.0,1,1,971.7467308044434
20,0.0,1,1,1147.812259197235
15,0.0,1,4,456.8837718963623
10,0.0,1,4,523.5034742355347
12,0.0,1,4,318.0127158164978
70,0.0,1,3,861.5631947517395
55,0.0,1,3,714.0142648220062
11,0.0,1,4,560.6476480960846
65,0.0,1,3,667.5844914913177
40,0.0,1,2,1090.1612691879272
75,0.0,1,4,814.6745820045471
30,0.0,1,2,1107.4012069702148
60,0.0,1,3,857.6779541969299
70,0.0,1,4,692.583836555481
45,0.0,1,2,987.9367260932922
55,0.0,1,4,722.454127073288
19,0.0,1,2,1071.091984987259
35,0.0,1,2,1158.8216607570648
65,0.0,1,4,652.0574254989624
20,0.0,1,2,913.5701599121094
50,0.0,1,2,1052.6842336654663
60,0.0,1,4,359.5388398170471
25,0.0,1,2,1285.015943288803
30,0.0,1,3,1007.6452062129974
35,0.0,1,3,888.6968793869019
40,0.0,1,3,1378.7087614536285
20,0.0,1,3,891.8955085277557
50,0.0,1,3,1012.7326242923737
45,0.0,1,3,1179.8243353366852
19,0.0,1,3,1165.2396402359009
25,0.0,1,3,1130.0842680931091
30,0.0,1,4,1059.0941874980927
45,0.0,1,4,884.8247487545013
20,0.0,1,4,1099.6958796977997
35,0.0,1,4,1207.5245442390442
19,0.0,1,4,934.7536087036133
40,0.0,1,4,1187.8205139636993
50,0.0,1,4,1067.2866024971008
25,0.0,1,4,897.6500113010406
