1.8572e-04,1.2997e-04,8.5332e-05,4.5470e-05,5.5684e-06,-3.7561e-05,-8.5381e-05,-1.3792e-04,-1.9399e-04,-2.5138e-04,-3.0747e-04,-3.5936e-04,-4.0423e-04,-4.3955e-04,-4.6330e-04,-4.7387e-04,-4.7029e-04,-4.5208e-04,-4.1921e-04,-3.7201e-04,-3.1118e-04,-2.3758e-04,-1.5228e-04,-5.6506e-05,4.8443e-05,1.6115e-04,2.8017e-04,4.0395e-04,5.3100e-04,6.5972e-04,7.8852e-04,9.1590e-04,1.0403e-03,1.1603e-03,1.2746e-03,1.3816e-03,1.4804e-03,1.5696e-03,1.6484e-03,1.7157e-03,1.7708e-03,1.8130e-03,1.8418e-03,1.8569e-03,1.8581e-03,1.8453e-03,1.8188e-03,1.7791e-03,1.7267e-03,1.6625e-03,1.5874e-03,1.5027e-03,1.4096e-03,1.3097e-03,1.2044e-03,1.0953e-03,9.8404e-04,8.7226e-04,7.6138e-04,6.5309e-04,5.4862e-04,4.4935e-04,3.5632e-04,2.7055e-04,1.9278e-04,1.2362e-04,6.3536e-05,1.2769e-05,-2.8670e-05,-6.0935e-05,-8.4276e-05,-9.9178e-05,-1.0630e-04,-1.0641e-04,-1.0036e-04,-8.9229e-05,-7.4067e-05,-5.6149e-05,-3.6603e-05,-1.6791e-05,1.9111e-06,1.8024e-05,3.0369e-05,3.7378e-05,3.7869e-05,3.0412e-05,1.3680e-05,-1.3589e-05,-5.2448e-05,-1.0415e-04,-1.6981e-04,-2.5032e-04,-3.4664e-04,-4.5953e-04,-5.8985e-04,-7.3828e-04,-9.0527e-04,-1.0914e-03,-1.2971e-03,-1.5227e-03
2.2928e-04,2.1204e-04,2.1541e-04,2.3110e-04,2.5203e-04,2.7255e-04,2.8873e-04,2.9818e-04,3.0000e-04,2.9450e-04,2.8290e-04,2.6706e-04,2.4915e-04,2.3139e-04,2.1590e-04,2.0449e-04,1.9868e-04,1.9960e-04,2.0804e-04,2.2442e-04,2.4894e-04,2.8149e-04,3.2178e-04,3.6937e-04,4.2366e-04,4.8391e-04,5.4930e-04,6.1896e-04,6.9189e-04,7.6712e-04,8.4360e-04,9.2037e-04,9.9637e-04,1.0707e-03,1.1422e-03,1.2102e-03,1.2736e-03,1.3316e-03,1.3834e-03,1.4281e-03,1.4650e-03,1.4934e-03,1.5125e-03,1.5220e-03,1.5212e-03,1.5100e-03,1.4881e-03,1.4556e-03,1.4126e-03,1.3596e-03,1.2971e-03,1.2261e-03,1.1473e-03,1.0619e-03,9.7126e-04,8.7656e-04,7.7928e-04,6.8077e-04,5.8261e-04,4.8616e-04,3.9267e-04,3.0353e-04,2.1975e-04,1.4237e-04,7.2267e-05,1.0080e-05,-4.3713e-05,-8.8718e-05,-1.2478e-04,-1.5205e-04,-1.7065e-04,-1.8103e-04,-1.8365e-04,-1.7921e-04,-1.6856e-04,-1.5262e-04,-1.3248e-04,-1.0918e-04,-8.4072e-05,-5.8234e-05,-3.3106e-05,-1.0027e-05,9.6736e-06,2.4604e-05,3.3441e-05,3.4808e-05,2.7470e-05,1.0143e-05,-1.8414e-05,-5.9301e-05,-1.1367e-04,-1.8250e-04,-2.6668e-04,-3.6709e-04,-4.8458e-04,-6.1970e-04,-7.7320e-04,-9.4568e-04,-1.1373e-03,-1.3486e-03
2.8062e-04,3.0892e-04,3.7010e-04,4.5392e-04,5.5080e-04,6.5241e-04,7.5193e-04,8.4413e-04,9.2547e-04,9.9394e-04,1.0489e-03,1.0908e-03,1.1208e-03,1.1406e-03,1.1523e-03,1.1580e-03,1.1597e-03,1.1592e-03,1.1581e-03,1.1579e-03,1.1595e-03,1.1636e-03,1.1710e-03,1.1817e-03,1.1958e-03,1.2132e-03,1.2336e-03,1.2566e-03,1.2817e-03,1.3084e-03,1.3361e-03,1.3643e-03,1.3922e-03,1.4195e-03,1.4457e-03,1.4702e-03,1.4925e-03,1.5121e-03,1.5286e-03,1.5413e-03,1.5496e-03,1.5530e-03,1.5508e-03,1.5424e-03,1.5273e-03,1.5049e-03,1.4747e-03,1.4366e-03,1.3905e-03,1.3362e-03,1.2742e-03,1.2048e-03,1.1286e-03,1.0464e-03,9.5926e-04,8.6819e-04,7.7439e-04,6.7910e-04,5.8370e-04,4.8946e-04,3.9766e-04,3.0958e-04,2.2630e-04,1.4886e-04,7.8193e-05,1.5014e-05,-4.0100e-05,-8.6674e-05,-1.2461e-04,-1.5372e-04,-1.7419e-04,-1.8634e-04,-1.9044e-04,-1.8730e-04,-1.7748e-04,-1.6207e-04,-1.4181e-04,-1.1798e-04,-9.1639e-05,-6.3927e-05,-3.6243e-05,-9.9605e-06,1.3634e-05,3.3161e-05,4.7456e-05,5.4912e-05,5.4227e-05,4.4437e-05,2.4043e-05,-8.1537e-06,-5.3116e-05,-1.1195e-04,-1.8564e-04,-2.7499e-04,-3.8098e-04,-5.0415e-04,-6.4521e-04,-8.0487e-04,-9.8339e-04,-1.1813e-03
3.3286e-04,4.1254e-04,5.4026e-04,7.0388e-04,8.9132e-04,1.0913e-03,1.2937e-03,1.4900e-03,1.6736e-03,1.8395e-03,1.9847e-03,2.1076e-03,2.2081e-03,2.2872e-03,2.3466e-03,2.3885e-03,2.4156e-03,2.4303e-03,2.4353e-03,2.4329e-03,2.4251e-03,2.4135e-03,2.3997e-03,2.3845e-03,2.3687e-03,2.3526e-03,2.3365e-03,2.3202e-03,2.3038e-03,2.2869e-03,2.2693e-03,2.2510e-03,2.2316e-03,2.2110e-03,2.1893e-03,2.1663e-03,2.1420e-03,2.1164e-03,2.0894e-03,2.0607e-03,2.0301e-03,1.9974e-03,1.9619e-03,1.9233e-03,1.8810e-03,1.8344e-03,1.7830e-03,1.7263e-03,1.6639e-03,1.5956e-03,1.5214e-03,1.4413e-03,1.3557e-03,1.2650e-03,1.1700e-03,1.0715e-03,9.7053e-04,8.6808e-04,7.6538e-04,6.6365e-04,5.6412e-04,4.6800e-04,3.7638e-04,2.9028e-04,2.1072e-04,1.3851e-04,7.4315e-05,1.8626e-05,-2.8327e-05,-6.6336e-05,-9.5318e-05,-1.1555e-04,-1.2742e-04,-1.3137e-04,-1.2809e-04,-1.1835e-04,-1.0320e-04,-8.3449e-05,-6.0407e-05,-3.5163e-05,-8.9984e-06,1.6755e-05,4.0696e-05,6.1654e-05,7.8141e-05,8.8800e-05,9.2359e-05,8.7534e-05,7.2905e-05,4.7410e-05,9.9344e-06,-4.0700e-05,-1.0542e-04,-1.8524e-04,-2.8097e-04,-3.9339e-04,-5.2309e-04,-6.7095e-04,-8.3724e-04,-1.0225e-03
3.7925e-04,5.1458e-04,7.1597e-04,9.6956e-04,1.2608e-03,1.5754e-03,1.8996e-03,2.2213e-03,2.5299e-03,2.8173e-03,3.0772e-03,3.3057e-03,3.5008e-03,3.6621e-03,3.7910e-03,3.8896e-03,3.9610e-03,4.0084e-03,4.0355e-03,4.0456e-03,4.0419e-03,4.0271e-03,4.0036e-03,3.9732e-03,3.9372e-03,3.8965e-03,3.8518e-03,3.8033e-03,3.7513e-03,3.6957e-03,3.6366e-03,3.5740e-03,3.5082e-03,3.4394e-03,3.3678e-03,3.2939e-03,3.2182e-03,3.1411e-03,3.0630e-03,2.9842e-03,2.9050e-03,2.8253e-03,2.7451e-03,2.6642e-03,2.5822e-03,2.4985e-03,2.4127e-03,2.3243e-03,2.2327e-03,2.1375e-03,2.0384e-03,1.9353e-03,1.8282e-03,1.7173e-03,1.6031e-03,1.4862e-03,1.3672e-03,1.2473e-03,1.1273e-03,1.0084e-03,8.9170e-04,7.7834e-04,6.6956e-04,5.6636e-04,4.6966e-04,3.8037e-04,2.9930e-04,2.2697e-04,1.6378e-04,1.1005e-04,6.5790e-05,3.0926e-05,5.1893e-06,-1.1811e-05,-2.0672e-05,-2.2146e-05,-1.7045e-05,-6.4252e-06,8.7246e-06,2.7154e-05,4.7772e-05,6.9116e-05,8.9843e-05,1.0881e-04,1.2436e-04,1.3534e-04,1.4026e-04,1.3787e-04,1.2689e-04,1.0591e-04,7.4062e-05,2.9831e-05,-2.7596e-05,-9.9381e-05,-1.8620e-04,-2.8902e-04,-4.0867e-04,-5.4550e-04,-7.0049e-04,-8.7381e-04
4.1361e-04,6.0713e-04,8.8732e-04,1.2389e-03,1.6452e-03,2.0886e-03,2.5519e-03,3.0189e-03,3.4749e-03,3.9075e-03,4.3069e-03,4.6661e-03,4.9806e-03,5.2483e-03,5.4696e-03,5.6464e-03,5.7819e-03,5.8802e-03,5.9460e-03,5.9837e-03,5.9978e-03,5.9921e-03,5.9702e-03,5.9347e-03,5.8877e-03,5.8308e-03,5.7650e-03,5.6909e-03,5.6089e-03,5.5193e-03,5.4223e-03,5.3182e-03,5.2073e-03,5.0901e-03,4.9675e-03,4.8401e-03,4.7090e-03,4.5750e-03,4.4393e-03,4.3026e-03,4.1658e-03,4.0293e-03,3.8937e-03,3.7591e-03,3.6253e-03,3.4923e-03,3.3596e-03,3.2268e-03,3.0933e-03,2.9585e-03,2.8222e-03,2.6839e-03,2.5434e-03,2.4008e-03,2.2562e-03,2.1099e-03,1.9626e-03,1.8150e-03,1.6678e-03,1.5222e-03,1.3791e-03,1.2398e-03,1.1051e-03,9.7622e-04,8.5430e-04,7.4008e-04,6.3445e-04,5.3809e-04,4.5148e-04,3.7497e-04,3.0874e-04,2.5284e-04,2.0705e-04,1.7107e-04,1.4439e-04,1.2630e-04,1.1602e-04,1.1266e-04,1.1528e-04,1.2254e-04,1.3334e-04,1.4632e-04,1.6026e-04,1.7369e-04,1.8519e-04,1.9350e-04,1.9706e-04,1.9465e-04,1.8472e-04,1.6626e-04,1.3787e-04,9.8327e-05,4.6601e-05,-1.8542e-05,-9.7864e-05,-1.9224e-04,-3.0270e-04,-4.2980e-04,-5.7416e-04,-7.3644e-04
4.3082e-04,6.8317e-04,1.0450e-03,1.5002e-03,2.0299e-03,2.6137e-03,3.2309e-03,3.8608e-03,4.4845e-03,5.0849e-03,5.6479e-03,6.1627e-03,6.6217e-03,7.0206e-03,7.3581e-03,7.6356e-03,7.8562e-03,8.0246e-03,8.1464e-03,8.2273e-03,8.2731e-03,8.2889e-03,8.2796e-03,8.2488e-03,8.1997e-03,8.1343e-03,8.0543e-03,7.9607e-03,7.8541e-03,7.7350e-03,7.6037e-03,7.4606e-03,7.3063e-03,7.1415e-03,6.9672e-03,6.7847e-03,6.5952e-03,6.4003e-03,6.2015e-03,6.0004e-03,5.7983e-03,5.5965e-03,5.3958e-03,5.1971e-03,5.0008e-03,4.8070e-03,4.6156e-03,4.4263e-03,4.2388e-03,4.0525e-03,3.8670e-03,3.6818e-03,3.4965e-03,3.3110e-03,3.1251e-03,2.9391e-03,2.7532e-03,2.5680e-03,2.3842e-03,2.2026e-03,2.0243e-03,1.8500e-03,1.6812e-03,1.5186e-03,1.3633e-03,1.2166e-03,1.0789e-03,9.5126e-04,8.3416e-04,7.2815e-04,6.3339e-04,5.5002e-04,4.7804e-04,4.1711e-04,3.6691e-04,3.2678e-04,2.9601e-04,2.7373e-04,2.5899e-04,2.5060e-04,2.4741e-04,2.4817e-04,2.5150e-04,2.5591e-04,2.6016e-04,2.6271e-04,2.6216e-04,2.5701e-04,2.4600e-04,2.2771e-04,2.0087e-04,1.6407e-04,1.1632e-04,5.6350e-05,-1.6750e-05,-1.0409e-04,-2.0644e-04,-3.2458e-04,-4.5933e-04,-6.1113e-04
4.2713e-04,7.3713e-04,1.1812e-03,1.7426e-03,2.4009e-03,3.1334e-03,3.9157e-03,4.7232e-03,5.5320e-03,6.3204e-03,7.0694e-03,7.7637e-03,8.3919e-03,8.9468e-03,9.4249e-03,9.8264e-03,1.0154e-02,1.0413e-02,1.0609e-02,1.0749e-02,1.0841e-02,1.0891e-02,1.0906e-02,1.0889e-02,1.0846e-02,1.0780e-02,1.0692e-02,1.0585e-02,1.0459e-02,1.0314e-02,1.0152e-02,9.9728e-03,9.7771e-03,9.5658e-03,9.3401e-03,9.1016e-03,8.8520e-03,8.5933e-03,8.3275e-03,8.0568e-03,7.7833e-03,7.5088e-03,7.2350e-03,6.9633e-03,6.6947e-03,6.4297e-03,6.1689e-03,5.9123e-03,5.6596e-03,5.4106e-03,5.1647e-03,4.9216e-03,4.6806e-03,4.4415e-03,4.2041e-03,3.9682e-03,3.7341e-03,3.5019e-03,3.2724e-03,3.0461e-03,2.8239e-03,2.6067e-03,2.3955e-03,2.1913e-03,1.9953e-03,1.8085e-03,1.6316e-03,1.4657e-03,1.3113e-03,1.1690e-03,1.0393e-03,9.2223e-04,8.1800e-04,7.2639e-04,6.4700e-04,5.7941e-04,5.2295e-04,4.7678e-04,4.3998e-04,4.1145e-04,3.9010e-04,3.7447e-04,3.6338e-04,3.5534e-04,3.4893e-04,3.4270e-04,3.3509e-04,3.2470e-04,3.1008e-04,2.8975e-04,2.6236e-04,2.2660e-04,1.8111e-04,1.2472e-04,5.6436e-05,-2.4887e-05,-1.2029e-04,-2.3048e-04,-3.5632e-04,-4.9851e-04
4.0049e-04,7.6527e-04,1.2897e-03,1.9571e-03,2.7459e-03,3.6315e-03,4.5863e-03,5.5818e-03,6.5896e-03,7.5828e-03,8.5373e-03,9.4329e-03,1.0254e-02,1.0989e-02,1.1632e-02,1.2181e-02,1.2639e-02,1.3009e-02,1.3299e-02,1.3516e-02,1.3670e-02,1.3767e-02,1.3817e-02,1.3825e-02,1.3797e-02,1.3737e-02,1.3647e-02,1.3531e-02,1.3390e-02,1.3224e-02,1.3035e-02,1.2822e-02,1.2587e-02,1.2331e-02,1.2055e-02,1.1761e-02,1.1450e-02,1.1126e-02,1.0791e-02,1.0447e-02,1.0097e-02,9.7446e-03,9.3911e-03,9.0390e-03,8.6899e-03,8.3451e-03,8.0055e-03,7.6716e-03,7.3437e-03,7.0217e-03,6.7052e-03,6.3939e-03,6.0872e-03,5.7846e-03,5.4859e-03,5.1908e-03,4.8992e-03,4.6113e-03,4.3274e-03,4.0481e-03,3.7740e-03,3.5060e-03,3.2450e-03,2.9919e-03,2.7479e-03,2.5140e-03,2.2911e-03,2.0801e-03,1.8819e-03,1.6971e-03,1.5261e-03,1.3693e-03,1.2269e-03,1.0988e-03,9.8465e-04,8.8427e-04,7.9702e-04,7.2201e-04,6.5849e-04,6.0536e-04,5.6146e-04,5.2556e-04,4.9622e-04,4.7212e-04,4.5174e-04,4.3353e-04,4.1605e-04,3.9770e-04,3.7693e-04,3.5231e-04,3.2231e-04,2.8559e-04,2.4081e-04,1.8649e-04,1.2162e-04,4.4919e-05,-4.4472e-05,-1.4769e-04,-2.6534e-04,-3.9867e-04
3.5061e-04,7.6589e-04,1.3668e-03,2.1371e-03,3.0549e-03,4.0939e-03,5.2241e-03,6.4136e-03,7.6296e-03,8.8402e-03,1.0016e-02,1.1132e-02,1.2167e-02,1.3105e-02,1.3937e-02,1.4658e-02,1.5268e-02,1.5772e-02,1.6176e-02,1.6489e-02,1.6721e-02,1.6881e-02,1.6978e-02,1.7021e-02,1.7016e-02,1.6970e-02,1.6885e-02,1.6766e-02,1.6614e-02,1.6430e-02,1.6217e-02,1.5974e-02,1.5702e-02,1.5403e-02,1.5078e-02,1.4729e-02,1.4358e-02,1.3968e-02,1.3561e-02,1.3142e-02,1.2714e-02,1.2279e-02,1.1841e-02,1.1403e-02,1.0967e-02,1.0535e-02,1.0109e-02,9.6891e-03,9.2771e-03,8.8730e-03,8.4766e-03,8.0877e-03,7.7060e-03,7.3309e-03,6.9619e-03,6.5989e-03,6.2415e-03,5.8896e-03,5.5434e-03,5.2034e-03,4.8699e-03,4.5438e-03,4.2258e-03,3.9170e-03,3.6183e-03,3.3307e-03,3.0553e-03,2.7930e-03,2.5448e-03,2.3113e-03,2.0931e-03,1.8907e-03,1.7045e-03,1.5343e-03,1.3802e-03,1.2418e-03,1.1186e-03,1.0099e-03,9.1496e-04,8.3273e-04,7.6206e-04,7.0182e-04,6.5044e-04,6.0664e-04,5.6895e-04,5.3566e-04,5.0530e-04,4.7619e-04,4.4687e-04,4.1565e-04,3.8094e-04,3.4138e-04,2.9539e-04,2.4167e-04,1.7887e-04,1.0570e-04,2.1116e-05,-7.6013e-05,-1.8664e-04,-3.1160e-04
2.7893e-04,7.3929e-04,1.4111e-03,2.2788e-03,3.3207e-03,4.5096e-03,5.8138e-03,7.1984e-03,8.6267e-03,1.0062e-02,1.1471e-02,1.2822e-02,1.4088e-02,1.5250e-02,1.6293e-02,1.7209e-02,1.7996e-02,1.8656e-02,1.9197e-02,1.9625e-02,1.9953e-02,2.0191e-02,2.0350e-02,2.0439e-02,2.0468e-02,2.0443e-02,2.0369e-02,2.0252e-02,2.0094e-02,1.9896e-02,1.9662e-02,1.9391e-02,1.9085e-02,1.8745e-02,1.8373e-02,1.7971e-02,1.7541e-02,1.7085e-02,1.6609e-02,1.6114e-02,1.5605e-02,1.5086e-02,1.4560e-02,1.4032e-02,1.3504e-02,1.2979e-02,1.2460e-02,1.1948e-02,1.1444e-02,1.0950e-02,1.0466e-02,9.9913e-03,9.5263e-03,9.0703e-03,8.6230e-03,8.1840e-03,7.7529e-03,7.3295e-03,6.9137e-03,6.5058e-03,6.1061e-03,5.7152e-03,5.3338e-03,4.9628e-03,4.6032e-03,4.2558e-03,3.9219e-03,3.6025e-03,3.2984e-03,3.0105e-03,2.7395e-03,2.4860e-03,2.2505e-03,2.0329e-03,1.8335e-03,1.6520e-03,1.4880e-03,1.3409e-03,1.2099e-03,1.0942e-03,9.9253e-04,9.0374e-04,8.2658e-04,7.5948e-04,7.0102e-04,6.4950e-04,6.0330e-04,5.6079e-04,5.2029e-04,4.8015e-04,4.3864e-04,3.9426e-04,3.4549e-04,2.9063e-04,2.2851e-04,1.5764e-04,7.6760e-05,-1.5326e-05,-1.1945e-04,-2.3680e-04
1.8841e-04,6.8774e-04,1.4233e-03,2.3810e-03,3.5395e-03,4.8713e-03,6.3437e-03,7.9196e-03,9.5593e-03,1.1222e-02,1.2870e-02,1.4465e-02,1.5976e-02,1.7379e-02,1.8652e-02,1.9786e-02,2.0772e-02,2.1613e-02,2.2312e-02,2.2878e-02,2.3321e-02,2.3655e-02,2.3891e-02,2.4040e-02,2.4112e-02,2.4118e-02,2.4063e-02,2.3953e-02,2.3794e-02,2.3586e-02,2.3334e-02,2.3039e-02,2.2701e-02,2.2323e-02,2.1907e-02,2.1453e-02,2.0966e-02,2.0447e-02,1.9900e-02,1.9331e-02,1.8741e-02,1.8137e-02,1.7523e-02,1.6902e-02,1.6279e-02,1.5657e-02,1.5040e-02,1.4430e-02,1.3829e-02,1.3239e-02,1.2660e-02,1.2092e-02,1.1536e-02,1.0992e-02,1.0459e-02,9.9369e-03,9.4250e-03,8.9231e-03,8.4311e-03,7.9487e-03,7.4766e-03,7.0148e-03,6.5640e-03,6.1250e-03,5.6987e-03,5.2861e-03,4.8882e-03,4.5061e-03,4.1408e-03,3.7932e-03,3.4642e-03,3.1544e-03,2.8644e-03,2.5944e-03,2.3448e-03,2.1152e-03,1.9056e-03,1.7154e-03,1.5439e-03,1.3903e-03,1.2535e-03,1.1324e-03,1.0255e-03,9.3159e-04,8.4893e-04,7.7592e-04,7.1091e-04,6.5219e-04,5.9800e-04,5.4658e-04,4.9597e-04,4.4487e-04,3.9135e-04,3.3400e-04,2.7111e-04,2.0116e-04,1.2302e-04,3.5220e-05,-6.3392e-05,-1.7397e-04
8.3305e-05,6.1505e-04,1.4066e-03,2.4450e-03,3.7103e-03,5.1751e-03,6.8062e-03,8.5652e-03,1.0410e-02,1.2298e-02,1.4184e-02,1.6028e-02,1.7794e-02,1.9449e-02,2.0970e-02,2.2339e-02,2.3547e-02,2.4590e-02,2.5471e-02,2.6197e-02,2.6778e-02,2.7227e-02,2.7556e-02,2.7780e-02,2.7909e-02,2.7956e-02,2.7928e-02,2.7833e-02,2.7678e-02,2.7465e-02,2.7199e-02,2.6882e-02,2.6516e-02,2.6103e-02,2.5644e-02,2.5142e-02,2.4599e-02,2.4019e-02,2.3405e-02,2.2762e-02,2.2094e-02,2.1405e-02,2.0702e-02,1.9988e-02,1.9268e-02,1.8548e-02,1.7830e-02,1.7118e-02,1.6415e-02,1.5723e-02,1.5043e-02,1.4377e-02,1.3724e-02,1.3085e-02,1.2460e-02,1.1848e-02,1.1249e-02,1.0662e-02,1.0088e-02,9.5255e-03,8.9750e-03,8.4368e-03,7.9112e-03,7.3990e-03,6.9009e-03,6.4179e-03,5.9510e-03,5.5013e-03,5.0699e-03,4.6577e-03,4.2657e-03,3.8948e-03,3.5456e-03,3.2184e-03,2.9138e-03,2.6315e-03,2.3718e-03,2.1340e-03,1.9176e-03,1.7219e-03,1.5459e-03,1.3884e-03,1.2481e-03,1.1237e-03,1.0135e-03,9.1579e-04,8.2901e-04,7.5127e-04,6.8068e-04,6.1552e-04,5.5394e-04,4.9407e-04,4.3412e-04,3.7250e-04,3.0739e-04,2.3720e-04,1.6058e-04,7.5953e-05,-1.7846e-05,-1.2228e-04
